Alboran Sea, N3505-N3645 W00100-W00530
Albuquerque New Mexico, N3505-N3505 W10638-W10638
Alcona County Michigan, N4430-N4450 W08318-W08352
Alcorn County Mississippi, N3445-N3500 W08822-W08850
Alcoy Spain, N3842-N3842 W00029-W00029
Alcudia Valley, N3835-N3845 W00422-W00455
Aldabra Island, S0924-S0924 E04620-E04620
Aldan Plateau, N5620-N5810 E13030-E12300
Aldan River, N5615-N6330 E13543-E12300
Aldan Russian Federation, N5844-N5844 E12522-E12522
Aldan Shield, N5530-N6130 E13700-E11630
Aleksinac Serbia, N4331-N4331 E02142-E02142
Ales France, N4408-N4408 E00405-E00405
Aleutian Basin, N5200-N6200 W17000-E17000
Aleutian Islands, N5100-N5530 W16100-E17200
Alexander Archipelago, N5440-N5825 W13050-W13640
Alexander County Illinois, N3700-N3717 W08910-W08930
Alexander County North Carolina, N3545-N3605 W08100-W08120
Alexandria Egypt, N3113-N3113 E02955-E02955
Alfalfa County Oklahoma, N3625-N3700 W09807-W09832
Alfold, N4555-N4827 E02255-E01845
Algarve, N3658-N3731 W00722-W00859
Alger County Michigan, N4612-N4640 W08552-W08707
Algeria, N1900-N3700 E01200-W00900
Algiers Algeria, N3650-N3650 E00300-E00300
Algoma District Ontario, N4610-N4940 W08245-W08520
Alicante City Spain, N3821-N3821 W00029-W00029
Alicante Spain, N3752-N3853 E00015-W00105
Alice Arm British Columbia, N5529-N5529 W12931-W12931
Alice Springs Australia, S2342-S2342 E13352-E13352
Allamakee County Iowa, N4307-N4330 W09105-W09137
Allan Hills, S7700-S7630 E16000-E15900
Allegan County Michigan, N4225-N4245 W08535-W08622
Allegany County Maryland, N3926-N394330 W07819-W07904
Allegany County New York, N4200-N4232 W07751-W07819
Alleghany County North Carolina, N3621-N3634 W08056-W08122
Alleghany County Virginia, N3737-N3758 W07936-W08019
Allegheny County Pennsylvania, N4012-N4040 W07942-W08022
Allen County Indiana, N4052-N4115 W08447-W08520
Allen County Kansas, N3743-N3803 W09505-W09530
Allen County Kentucky, N3637-N3655 W08556-W08619
Allen County Ohio, N4038-N4055 W08353-W08424
Allen Parish Louisiana, N3025-N3055 W09235-W09307
Allendale County South Carolina, N3245-N3310 W08105-W08137
Allgau Alps, N4710-N4730 E01050-E01000
Allier France, N4550-N4645 E00400-E00230
Alma mining district, N3917-N3917 W10603-W10603
Alma River, N4442-N4453 E03415-E03335
Alma-Ata Kazakhstan, N4319-N4319 E07655-E07655
Almaden Spain, N3847-N3847 W00450-W00450
Almalyk Uzbekistan, N4050-N4050 E06940-E06940
Almeria City Spain, N3650-N3650 W00226-W00226
Almeria Spain, N3640-N3757 W00135-W00310
Alno, N6230-N6230 E01730-E01730
Alpago Basin, N4607-N4607 E01222-E01222
Alpena County Michigan, N4450-N4512 W08310-W08352
Alpenvorland, N4715-N4904 E01330-E00835
